,symbol,HIGH,LOW,OPEN,LAST TRADED PRICE,%change,totalBuyQuantity,totalSellQuantity,totalTradedValue,totalTradedVolume
0,HINDUNILVR,2172.0,2142.3,2150.0,2168.5,1.15,47.0,,35509.74,1646050.0
1,HCLTECH,860.9,842.05,853.0,847.45,-0.59,242.0,,56406.3,6614014.0
2,INFY,1129.6,1103.15,1122.25,1114.2,-0.74,472.0,,70408.04,6309643.0
3,BHARTIARTL,439.45,428.0,434.35,433.8,-0.14,,1296.0,50908.0,11736985.0
4,SBILIFE,784.9,765.1,775.0,781.0,1.34,6333.0,,20458.08,2638356.0
5,BAJAJ-AUTO,3113.75,2885.0,3097.95,2897.0,-6.01,313.0,,63250.21,2140237.0
6,SHREECEM,20809.75,20113.1,20665.7,20375.45,-0.71,,148.0,13422.19,65851.0
7,AXISBANK,509.85,490.9,508.25,493.0,-2.80,2786.0,,87074.37,17446977.0
8,GAIL,87.8,85.0,87.65,85.65,-1.89,,4511.0,8328.69,9696925.0
9,SUNPHARMA,487.4,471.1,487.4,474.75,-2.01,,1248.0,31098.44,6499287.0
10,WIPRO,344.9,336.7,343.7,339.4,-0.88,,868.0,29666.3,8695206.0
11,RELIANCE,2101.95,2018.5,2101.95,2034.9,-3.70,10437.0,,353582.83,17225340.0
12,DIVISLAB,3081.4,3020.1,3080.9,3040.05,-0.94,,300.0,23499.61,772978.0
13,BRITANNIA,3505.55,3466.0,3482.0,3485.0,0.44,,1163.0,31151.93,893740.0
14,BAJAJFINSV,5872.65,5645.0,5872.65,5700.8,-2.24,156.0,,44771.64,783118.0
15,COALINDIA,117.9,114.2,117.9,114.35,-2.85,,25005.0,12961.31,11243328.0
16,ASIANPAINT,2116.35,2070.05,2116.35,2080.0,-1.90,7.0,,26662.34,1278236.0
17,HDFCBANK,1242.0,1204.6,1229.8,1216.55,-1.56,2701.0,,119613.58,9786023.0
18,NESTLEIND,16375.0,16052.15,16200.0,16273.45,2.57,45.0,,56158.87,346011.0
19,CIPLA,763.75,742.3,761.2,744.5,-1.72,,9409.0,35123.12,4665293.0
20,GRASIM,789.85,768.0,785.0,779.7,-0.70,,936.0,10420.16,1338819.0
21,BAJFINANCE,3330.0,3236.65,3330.0,3294.0,-0.69,,98.0,116160.21,3546292.0
22,ICICIBANK,419.15,401.45,418.05,405.15,-2.83,1186.0,,88701.95,21712470.0
23,BPCL,353.7,342.55,351.55,346.05,-1.56,,543.0,17684.79,5082419.0
24,DRREDDY,5062.0,4951.25,5008.0,4951.3,-1.33,,2005.0,70497.87,1408079.0
25,LT,959.25,943.0,949.85,952.4,1.18,342.0,,66319.68,6976099.0
26,INDUSINDBK,633.3,613.55,617.0,616.9,1.44,1302.0,,108394.34,17438518.0
27,ADANIPORTS,373.9,360.35,366.0,360.9,-0.95,,16288.0,27783.89,7541567.0
28,HDFC,2083.95,2052.75,2058.0,2073.0,0.65,1391.0,,101950.39,4927520.0
29,HINDALCO,182.9,169.6,182.3,172.6,-5.29,1364.0,,27293.22,15615757.0
30,SBIN,204.0,195.6,202.7,197.0,-2.86,5332.0,,90633.79,45471498.0
31,HDFCLIFE,582.65,563.5,566.75,582.55,3.2,107650.0,,48857.15,8486269.0
32,POWERGRID,172.95,169.65,170.05,172.0,1.09,613.0,,35526.68,20677888.0
33,EICHERMOT,2214.65,2091.15,2188.0,2112.95,-3.16,439.0,,33320.4,1551460.0
