symbol,high,low,open,last traded price,%change
HINDUNILVR,2188.9,2140.0,2188.9,2145.4,0.07
HCLTECH,875.45,850.6,871.0,852.5,0.01
INFY,1135.0,1120.15,1133.0,1122.4,-0.01
BHARTIARTL,437.6,427.3,434.9,434.0,-0.09
SBILIFE,789.75,767.0,783.15,770.8,0.01
BAJAJ-AUTO,3095.5,2997.15,3030.0,3090.0,0.25
SHREECEM,20809.75,20660.0,20665.7,20720.5,0.97
AXISBANK,509.85,503.05,508.25,506.9,-0.06
GAIL,87.8,86.8,87.65,86.95,-0.40
SUNPHARMA,487.4,483.55,487.4,484.05,-0.09
WIPRO,343.7,341.6,343.7,342.05,-0.10
RELIANCE,2101.95,2091.5,2101.95,2094.85,-0.86
DIVISLAB,3081.4,3055.3,3080.9,3058.3,-0.34
BRITANNIA,3489.8,3475.0,3482.0,3488.8,0.55
BAJAJFINSV,5872.65,5838.05,5872.65,5849.0,0.3
COALINDIA,117.9,117.55,117.9,117.6,-0.08
ASIANPAINT,2116.35,2102.0,2116.35,2105.7,-0.69
HDFCBANK,1234.65,1221.0,1229.8,1232.6,-0.26
NESTLEIND,16294.45,16150.0,16200.0,16153.6,1.82
CIPLA,762.0,757.2,761.2,758.3,0.1
GRASIM,787.8,781.55,785.0,787.3,0.27
BAJFINANCE,3330.0,3302.0,3330.0,3307.2,-0.29
ICICIBANK,419.15,416.35,418.05,417.0,0.01
BPCL,352.6,350.35,351.55,350.65,-0.26
DRREDDY,5008.0,4976.2,5008.0,4986.2,-0.64
LT,954.9,945.0,949.85,953.1,1.26
INDUSINDBK,633.3,617.0,617.0,632.55,4.01
ADANIPORTS,366.15,364.65,366.0,365.6,0.34
HDFC,2070.7,2052.75,2058.0,2064.5,0.23
HINDALCO,182.9,181.3,182.3,181.65,-0.33
SBIN,202.7,200.15,202.7,200.75,-1.01
HDFCLIFE,566.75,564.0,566.75,565.4,0.16
POWERGRID,170.45,169.65,170.05,170.1,-0.03
EICHERMOT,2188.0,2175.2,2188.0,2188.0,0.28
UPL,454.95,446.45,454.95,449.15,-0.40
TITAN,1250.0,1243.0,1250.0,1244.8,0.25
IOC,78.7,78.25,78.25,78.6,0.45
KOTAKBANK,1399.0,1372.2,1399.0,1379.7,-0.24
TECHM,841.9,825.6,830.0,832.1,-1.90
M&M,624.95,620.05,624.95,620.4,-0.76
ULTRACEMCO,4536.7,4502.1,4510.0,4532.25,0.61
ITC,171.6,170.75,171.5,170.9,0.09
NTPC,87.95,87.0,87.1,87.8,1.8
ONGC,69.5,69.0,69.5,69.3,0.43
TCS,2707.0,2674.75,2689.95,2680.3,-0.24
JSWSTEEL,315.8,308.7,314.0,314.5,-2.10
MARUTI,7110.0,7046.05,7100.0,7092.0,-0.16
TATASTEEL,423.35,418.35,423.35,420.3,-0.74
