Symbol,Open,High,Low,Last Traded Price,Change,%Change,Traded Volume(lacs),Traded Value(crs),52 Week High,52 Week Low,365 Days % Change,30 Days % Change
"NIFTY 50","11,301.75","11,302.20","11,084.65","11,203.65","-46.90","-0.42","4,724.74","24,974.87","12,430.50","7,511.10","-3.42","-2.29"
"TCS","2,485.00","2,543.45","2,458.00","2,538.50","73.20","2.97","43.94","1,098.29","2,543.45","1,506.05","25.93","12.92"
"GRASIM","720.40","746.00","706.80","734.00","17.15","2.39","23.37","169.37","836.90","385.05","-3.33","9.30"
"TECHM","793.00","806.00","772.00","805.00","17.75","2.25","61.31","486.20","845.90","471.40","17.90","11.42"
"BHARTIARTL","468.50","478.50","461.00","475.50","7.75","1.66","133.07","627.48","612.00","325.50","36.64","-9.76"
"HCLTECH","813.95","825.35","790.55","814.70","12.10","1.51","145.37","1,179.72","849.90","375.25","-21.12","15.45"
"CIPLA","777.05","787.95","755.15","779.60","11.50","1.50","108.18","840.27","819.30","355.30","73.67","3.70"
"HDFCLIFE","576.00","587.50","566.30","587.05","7.70","1.33","18.04","104.12","647.60","340.00","8.56","-1.95"
"SUNPHARMA","509.50","512.75","493.60","509.55","5.90","1.17","68.63","346.39","564.75","312.00","24.45","-4.48"
"WIPRO","315.40","316.75","303.95","314.20","2.30","0.74","162.05","503.63","324.50","159.40","31.27","15.22"
"ICICIBANK","354.00","356.15","349.50","353.20","2.50","0.71","181.58","639.87","552.20","268.30","-20.86","-7.14"
"INFY","1,009.00","1,018.00","991.20","1,016.45","6.55","0.65","84.34","848.53","1,031.00","509.25","32.98","7.29"
"DRREDDY","5,214.00","5,260.00","5,055.00","5,174.30","32.30","0.63","53.65","2,768.85","5,512.65","2,495.05","86.98","15.69"
"SBIN","186.15","187.70","181.15","186.75","0.95","0.51","347.14","641.86","351.00","149.45","-40.48","-7.30"
"NTPC","88.30","89.55","85.30","88.70","0.40","0.45","197.25","173.32","125.00","73.20","-23.57","-15.84"
"ULTRACEMCO","3,879.65","3,944.50","3,794.00","3,893.70","14.80","0.38","3.52","136.71","4,754.10","2,910.00","-11.33","-7.06"
"BAJAJ-AUTO","2,984.20","3,009.45","2,942.10","2,990.85","4.15","0.14","5.05","150.42","3,315.15","1,788.65","-0.14","-1.60"
"SHREECEM","19,075.00","19,187.20","18,424.00","18,922.50","18.80","0.10","0.46","87.30","25,355.00","15,410.00","-5.00","-14.80"
"KOTAKBANK","1,288.05","1,301.50","1,275.70","1,288.05","0.20","0.02","24.73","318.49","1,740.00","1,001.00","-21.49","-7.15"
