symbol,HIGH,LOW,OPEN,LAST TRADED PRICE,%change,TOTAL TRADED VOLUME
HINDUNILVR,2168.45,2142.3,2150.0,2152.15,0.39,1283880.0
HCLTECH,860.9,844.5,853.0,845.5,-0.82,5280946.0
INFY,1129.6,1106.1,1122.25,1109.1,-1.19,4729855.0
BHARTIARTL,439.45,428.0,434.35,432.2,-0.51,9392212.0
SBILIFE,776.0,765.1,775.0,768.9,-0.23,994049.0
BAJAJ-AUTO,3113.75,2885.0,3097.95,2901.6,-5.86,1779743.0
SHREECEM,20809.75,20113.1,20665.7,20218.15,-1.48,44625.0
AXISBANK,509.85,490.9,508.25,493.35,-2.73,14259085.0
GAIL,87.8,85.0,87.65,85.35,-2.23,7499938.0
SUNPHARMA,487.4,471.1,487.4,473.6,-2.25,5002825.0
WIPRO,344.9,336.7,343.7,338.2,-1.23,6699358.0
RELIANCE,2101.95,2018.5,2101.95,2031.4,-3.86,12835010.0
DIVISLAB,3081.4,3020.1,3080.9,3035.4,-1.09,549827.0
BRITANNIA,3505.55,3466.0,3482.0,3487.0,0.5,701511.0
BAJAJFINSV,5872.65,5645.0,5872.65,5671.25,-2.75,623103.0
COALINDIA,117.9,114.2,117.9,114.7,-2.55,8618905.0
ASIANPAINT,2116.35,2070.05,2116.35,2077.15,-2.03,973249.0
HDFCBANK,1242.0,1208.5,1229.8,1214.25,-1.74,7035646.0
NESTLEIND,16375.0,16052.15,16200.0,16208.65,2.16,283634.0
CIPLA,763.75,743.25,761.2,746.85,-1.41,3850070.0
GRASIM,789.85,768.0,785.0,776.2,-1.15,1093165.0
BAJFINANCE,3330.0,3236.65,3330.0,3261.35,-1.67,2597572.0
ICICIBANK,419.15,401.45,418.05,403.45,-3.24,17040075.0
BPCL,353.7,342.55,351.55,343.8,-2.20,4216309.0
DRREDDY,5062.0,4965.5,5008.0,4982.25,-0.72,1119667.0
LT,959.25,943.0,949.85,950.85,1.02,5573516.0
INDUSINDBK,633.3,613.55,617.0,616.15,1.32,14938566.0
ADANIPORTS,373.9,362.3,366.0,364.65,0.08,6417470.0
HDFC,2083.95,2052.75,2058.0,2065.5,0.28,3895817.0
HINDALCO,182.9,169.6,182.3,172.4,-5.40,12311670.0
SBIN,204.0,195.6,202.7,196.9,-2.91,37625201.0
HDFCLIFE,579.5,563.5,566.75,576.45,2.12,5935121.0
POWERGRID,172.95,169.65,170.05,171.5,0.79,16871149.0
EICHERMOT,2214.65,2112.0,2188.0,2120.65,-2.81,1090344.0
UPL,454.95,431.5,454.95,433.65,-3.84,4861362.0
TITAN,1250.0,1212.1,1250.0,1213.65,-2.26,1059784.0
IOC,79.2,78.0,78.25,78.15,-0.13,10790941.0
KOTAKBANK,1399.0,1347.35,1399.0,1392.6,0.69,4124754.0
TECHM,854.7,816.95,830.0,818.0,-3.57,8157768.0
M&M,625.85,601.5,624.95,606.3,-3.02,3209231.0
ULTRACEMCO,4544.4,4459.35,4510.0,4470.7,-0.75,616087.0
ITC,171.6,168.25,171.5,168.55,-1.29,12367916.0
NTPC,88.0,84.3,87.1,85.35,-1.04,26195867.0
ONGC,69.5,67.65,69.5,68.15,-1.23,11357212.0
TCS,2709.95,2672.05,2689.95,2675.65,-0.41,2183777.0
JSWSTEEL,315.8,304.35,314.0,307.0,-4.44,12727197.0
MARUTI,7161.3,6935.05,7100.0,7030.4,-1.03,1112221.0
TATASTEEL,423.35,404.15,423.35,408.2,-3.60,12878131.0
TATAMOTORS,140.8,131.25,138.4,132.9,-2.99,71556148.0
HEROMOTOCO,3120.0,2875.0,3120.0,2901.0,-6.75,3112312.0
ACC,1614.8,1576.0,1604.9,1578.5,-1.62,1011707.0
ABBOTINDIA,15750.0,15490.0,15650.0,15649.6,0.16,4046.0
ADANIGREEN,722.8,701.1,720.0,703.15,-2.38,219650.0
ADANITRANS,293.35,285.35,293.35,287.55,-1.98,94700.0
ALKEM,2628.95,2563.65,2619.0,2584.0,-0.66,64822.0
AMBUJACEM,249.0,242.45,248.7,244.25,-1.27,6895077.0
AUROPHARMA,814.5,772.45,808.0,775.7,-0.91,5823051.0
DMART,2145.85,2100.35,2120.0,2135.0,0.87,453378.0
BAJAJHLDNG,2305.45,2252.15,2270.0,2294.0,1.43,28646.0
BANDHANBNK,309.65,300.5,309.0,301.1,-2.16,4555815.0
BANKBARODA,43.75,42.55,43.05,42.85,-0.70,29447819.0
BERGEPAINT,610.0,595.3,609.0,597.6,-1.94,467215.0
INFRATEL,193.55,185.6,193.55,186.95,-2.71,3425549.0
BIOCON,419.75,389.75,419.0,397.35,-4.76,7577652.0
BOSCHLTD,12279.85,11732.55,12244.0,11885.8,-2.68,39673.0
CADILAHC,430.0,414.5,425.5,416.0,-1.96,2150633.0
COLPAL,1476.0,1434.1,1462.0,1442.3,-1.53,624782.0
CONCOR,387.0,379.8,385.55,385.35,-0.05,763282.0
DLF,172.9,164.55,172.9,166.25,-2.95,7405106.0
DABUR,521.8,509.7,519.95,512.4,-1.30,1611759.0
GICRE,122.8,119.75,122.8,120.0,-1.23,84186.0
GODREJCP,691.8,667.1,686.0,669.75,-1.69,1354681.0
HDFCAMC,2309.0,2275.1,2308.0,2296.65,-0.53,118246.0
HAVELLS,734.0,721.25,730.0,726.15,-0.08,1173311.0
HINDPETRO,183.75,173.7,182.0,174.35,-4.49,5044940.0
HINDZINC,242.5,234.3,242.0,234.35,-2.21,1793883.0
ICICIGI,1294.85,1236.0,1272.0,1241.6,-1.29,348451.0
ICICIPRULI,414.25,401.25,410.8,403.4,-1.30,1021754.0
IGL,398.9,390.5,391.0,394.2,0.47,2375586.0
NAUKRI,3645.15,3500.0,3645.15,3511.2,-3.67,504799.0
INDIGO,1387.0,1344.4,1370.0,1354.1,-1.34,430943.0
LTI,3102.0,2991.0,3085.0,2992.0,-2.26,149786.0
LUPIN,997.65,959.5,992.95,963.6,-2.81,2108191.0
MARICO,361.85,345.75,359.2,346.0,-3.51,3031827.0
MOTHERSUMI,111.35,105.4,110.55,106.85,-3.26,12149356.0
MUTHOOTFIN,1194.2,1153.15,1185.0,1186.7,0.19,1187505.0
NMDC,84.95,82.45,84.85,83.4,-1.71,3227993.0
OFSS,3369.0,3263.95,3367.0,3266.0,-1.35,28737.0
PETRONET,238.5,229.05,233.0,230.8,-1.07,4100846.0
PIDILITIND,1508.7,1464.15,1506.0,1472.7,-1.84,334777.0
PEL,1325.0,1281.3,1325.0,1288.0,-2.95,636226.0
PFC,90.65,87.9,89.5,88.2,-2.00,2624176.0
PGHH,10398.0,10209.9,10301.0,10340.0,0.29,2474.0
PNB,28.25,27.45,27.55,28.05,2.37,25513124.0
SBICARD,818.0,793.1,807.15,798.2,-1.12,1794169.0
SIEMENS,1284.55,1260.5,1282.95,1280.5,0.12,333745.0
TATACONSUM,484.3,470.15,474.9,473.4,0.13,5031969.0
TORNTPHARM,2774.4,2643.6,2752.9,2651.3,-3.02,694175.0
UBL,965.85,940.0,964.95,949.05,-1.15,1172652.0
MCDOWELL-N,529.45,512.65,528.0,515.3,-2.16,666652.0
