,symbol,HIGH,LOW,OPEN,LAST TRADED PRICE,%change,TOTAL TRADED VOLUME,avg,price_volume,pv_cum_sum,cum_v,vwap,Action
0,HINDUNILVR,2168.45,2142.3,2150.0,2152.15,0.39,1283880.0,2154.2999999999997,2765862683.9999995,20401429121.266666,9460983.0,2156.3752013154094,Long
1,HCLTECH,860.9,844.5,853.0,845.5,-0.82,5280946.0,850.3000000000001,4490388383.8,33431568117.533333,39232353.0,852.142825018253,Long
2,INFY,1129.6,1106.1,1122.25,1109.1,-1.19,4729855.0,1114.9333333333332,5273473001.333333,38943719839.8,34863588.0,1117.0313233336742,Long
3,BHARTIARTL,439.45,428.0,434.35,432.2,-0.51,9392212.0,433.2166666666667,4068862775.266667,31290261285.083336,72243520.0,433.1220472795807,Long
4,SBILIFE,776.0,765.1,775.0,768.9,-0.23,994049.0,770.0,765417730.0,6725373258.65,8717728.0,771.4594053232677,Long
5,BAJAJ-AUTO,3113.75,2885.0,3097.95,2901.6,-5.86,1779743.0,2966.7833333333333,5280111870.016666,39481156517.966675,13305006.0,2967.3911096294637,Long
6,SHREECEM,20809.75,20113.1,20665.7,20218.15,-1.48,44625.0,20380.333333333332,909472375.0,6912521521.8,339161.0,20381.23935770917,Long
7,AXISBANK,509.85,490.9,508.25,493.35,-2.73,14259085.0,498.0333333333333,7101499632.833333,53971133893.966675,108340378.0,498.16268772817716,Long
8,GAIL,87.8,85.0,87.65,85.35,-2.23,7499938.0,86.05,645369664.9,4937014637.116667,57356075.0,86.07657753981016,Long
9,SUNPHARMA,487.4,471.1,487.4,473.6,-2.25,5002825.0,477.3666666666666,2388181894.1666665,17217933843.783333,36016352.0,478.0587951767945,Long
10,WIPRO,344.9,336.7,343.7,338.2,-1.23,6699358.0,339.93333333333334,2277335096.133333,17027082317.066668,49982455.0,340.6611843509221,Long
11,RELIANCE,2101.95,2018.5,2101.95,2031.4,-3.86,12835010.0,2050.616666666667,26319685422.833336,186837951605.36667,90867515.0,2056.1578205959154,Long
12,DIVISLAB,3081.4,3020.1,3080.9,3035.4,-1.09,549827.0,3045.633333333333,1674571438.7666667,12633744498.766666,4148630.0,3045.281092497202,Long
13,BRITANNIA,3505.55,3466.0,3482.0,3487.0,0.5,701511.0,3486.183333333333,2445595956.35,18832868040.2,5402022.0,3486.2627438762747,Short
14,BAJAJFINSV,5872.65,5645.0,5872.65,5671.25,-2.75,623103.0,5729.633333333334,3570151718.9000006,27701117689.51667,4835528.0,5728.664520093084,Long
15,COALINDIA,117.9,114.2,117.9,114.7,-2.55,8618905.0,115.60000000000001,996345418.0000001,7600577768.349999,65746935.0,115.60352993413304,Long
16,ASIANPAINT,2116.35,2070.05,2116.35,2077.15,-2.03,973249.0,2087.85,2031997924.6499999,15451220843.383333,7399685.0,2088.091701658021,Long
17,HDFCBANK,1242.0,1208.5,1229.8,1214.25,-1.74,7035646.0,1221.5833333333333,8594627892.833332,63570636996.283325,52007391.0,1222.3385133140657,Long
18,NESTLEIND,16375.0,16052.15,16200.0,16208.65,2.16,283634.0,16211.933333333334,4598255499.066667,35499649308.65,2189394.0,16214.37224576755,Long
19,CIPLA,763.75,743.25,761.2,746.85,-1.41,3850070.0,751.2833333333333,2892493423.1666665,21880631563.95,29089796.0,752.1754901254722,Long
20,GRASIM,789.85,768.0,785.0,776.2,-1.15,1093165.0,778.0166666666668,850500589.4166667,6577603702.983334,8455191.0,777.9367376778755,Long
21,BAJFINANCE,3330.0,3236.65,3330.0,3261.35,-1.67,2597572.0,3276.0,8509645872.0,66154534455.933334,20192625.0,3276.173080812095,Long
22,ICICIBANK,419.15,401.45,418.05,403.45,-3.24,17040075.0,408.01666666666665,6952634601.25,52817544720.566666,129435090.0,408.0620233706846,Long
23,BPCL,353.7,342.55,351.55,343.8,-2.2,4216309.0,346.68333333333334,1461724058.4833333,11165279801.55,32156355.0,347.2184518907693,Long
24,DRREDDY,5062.0,4965.5,5008.0,4982.25,-0.72,1119667.0,5003.25,5601973917.75,42382148546.1,8463779.0,5007.473440185525,Long
25,LT,959.25,943.0,949.85,950.85,1.02,5573516.0,951.0333333333333,5300599499.866667,40167274592.36667,42216033.0,951.4696606468606,Long
26,INDUSINDBK,633.3,613.55,617.0,616.15,1.32,14938566.0,621.0,9276849486.0,72274161322.16666,116354675.0,621.1539099925865,Long
27,ADANIPORTS,373.9,362.3,366.0,364.65,0.08,6417470.0,366.95,2354890616.5,17705318328.133335,48172330.0,367.54124884831884,Long
28,HDFC,2083.95,2052.75,2058.0,2065.5,0.28,3895817.0,2067.4,8054212065.8,60735301555.333336,29374215.0,2067.63998817784,Long
29,HINDALCO,182.9,169.6,182.3,172.4,-5.4,12311670.0,174.96666666666667,2154131861.0,16426409137.316666,93958268.0,174.8266489684193,Long
30,SBIN,204.0,195.6,202.7,196.9,-2.91,37625201.0,198.83333333333334,7481144132.166667,57723792292.05,290387641.0,198.78184930070768,Long
31,HDFCLIFE,579.5,563.5,566.75,576.45,2.12,5935121.0,573.15,3401714601.15,26268345607.383335,45836686.0,573.0856198326235,Short
